CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Time the interview has started (Asia/Kolkata),Gender,Age: [01],Performance Expectancy: I find autonomous vehicles useful in my daily life,Performance Expectancy: Using autonomous vehicles would help me accomplish things more quickly,Performance Expectancy: Using autonomous vehicles would increase my productivity,Performance Expectancy: Using autonomous vehicles would increase my flexibility in my daily life,Effort Expectancy : Autonomous vehicles will be easy to use and understand,Effort Expectancy : Learning to use autonomous transport systems will be easier for me,Effort Expectancy : It would be easy for me to become skillful at using autonomous vehicles,Social Influence : I will use autonomous vehicles if the people in my social circle start using them,Social Influence : I think using autonomous vehicles can improve my social status,Social Influence : People who are important to me think I should use autonomous vehicles,Facilitating Condition : I think I have the required knowledge to use autonomous vehicles,Facilitating Condition : I think I have the required resources to use autonomous vehicles,Facilitating Condition : Autonomous vehicles are compatible with other transportation systems I use,Hedonic Motivation : Using autonomous vehicles is exciting,Hedonic Motivation : Using autonomous vehicles is enjoyable,Hedonic Motivation : Using autonomous vehicles is entertaining,Price : I am ready to pay a higher price if autonomous vehicles are good value for money,"Price : If using autonomous vehicles is eco-friendly, then I am ready to pay a higher price",Price : I think the price of autonomous vehicles is reasonable,"Price : As soon as the product is available on the market, I need to have it",Habit : Using autonomous vehicles will become a routine for me,Habit : I will be addicted to using autonomous vehicles in my personal and professional life,Habit : Using autonomous vehicles could become natural to me,Trust and Safety : I feel the manufacturing company and government will safeguard my personal data and data security of the autonomous vehicles,Trust and Safety : My trust in autonomous vehicles will be dependant on the reliability of the manufacturer,Trust and Safety : I believe existing advancements in autonomous vehicles can provide adequate safety to passengers,Personal Innovativeness : I like to experiment with autonomous vehicles,Personal Innovativeness : I will be the first to try out autonomous vehicles than my peers,"Personal Innovativeness : If I heard about new features in autonomous vehicles, I would look for ways to experiment with it",Infrastructure : I think the existing infrastructure is sufficient for the implementation of autonomous vehicles,Infrastructure : I think Government support in infrastructure is required to facilitate the use of autonomous vehicles,Infrastructure : I think autonomous vehicle systems are compatible with existing transport systems,Infrastructure : I will use autonomous vehicles in the existing transport infrastructure,Infrastructure : I think advanced infrastructures and technologies are required for the use of autonomous vehicles,Legal Framework : I think the existing legal framework is sufficient for the implementation of autonomous vehicles,Legal Framework : I think Government support in the legal framework is required to facilitate the use of autonomous vehicles,Legal Framework : I think autonomous vehicle systems are compatible with the existing legal framework,Legal Framework : I will use autonomous vehicles only if the legal framework for liability (during crashes) exists,Legal Framework : I will use autonomous vehicles only if the legal framework for data security exists,Behavioral Intention : I intend to use autonomous vehicles in future,Behavioral Intention : I plan to use autonomous vehicles within the first 1 year of local availability,"Behavioral Intention : If the price is reasonable and suitable conditions for the use of autonomous vehicles exist, then I will use it.",Time spent on page 1,Time spent on page 2,Time spent on page 3,Time spent on page 4,Time spent on page 5,Time spent on page 6,Time spent on page 7,Time spent on page 8,Time spent on page 9,Time spent on page 10,Time spent on page 11,Time spent on page 12,Time spent on page 13,Time spent on page 14,Time spent overall (except outliers),"Time when the invitation mailing was sent (personally identifiable recipients, only)",Time when the data was most recently updated,Has the interview been finished (reached last page)?,"Did the respondent only view the questionnaire, omitting mandatory questions?",Last page that the participant has handled in the questionnaire,Hindmost page handled by the participant,Missing answers in percent,Missing answers (weighted by relevance),Degradation points for being very fast,Degradation points for being very fast
197,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,25,6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7,14,23,14,11,15,10,6,18,17,15,12,23,37,19,0,,2022-02-23 20:38:28,1,0,14,14,0,0,,100
203,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,21,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3,30,7,71,43,28,19,13,30,21,24,18,47,34,25,0,,2022-02-23 22:08:04,1,0,14,14,0,0,,100
205,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,22,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6,116,8,40,13,22,16,12,27,17,19,13,22,32,18,0,,2022-02-23 23:33:52,1,0,14,14,0,0,,100
207,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,4,6,6,7,3,4,4,6,1,5,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,2,6,3,5,5,2,4,5,57,8,35,63,142,25,20,58,115,49,47,83,14,19,0,,2022-02-24 09:52:33,1,0,14,14,14,11,,100
217,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-24 22:09:25,1,0,14,14,0,0,,100
206,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,26,4,5,5,5,4,5,5,5,4,4,4,4,4,5,5,6,5,5,4,3,5,4,4,5,6,6,5,3,4,2,5,3,3,5,3,6,3,5,6,5,4,6,46,10,36,29,44,17,13,31,37,25,21,41,29,19,0,#DIV/0!,44616,1,0,14,14,3,2,#DIV/0!,100
219,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-25 22:09:25,1,0,14,14,0,0,,100
223,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,28,5,6,6,6,4,5,5,6,5,5,5,5,4,5,5,6,6,5,4,3,5,4,5,4,7,7,5,3,4,2,5,4,4,5,4,6,3,5,6,5,4,6,49,7,31,28,47,18,14,32,40,25,23,40,26,16,0,#DIV/0!,44617,1,0,14,14,3,3,#DIV/0!,100
228,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-26 22:09:25,1,0,14,14,0,0,,100
