,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
Respondents,1Q1,1Q2,1Q3,2Q1,2Q2,2Q3,3Q1,3Q2,3Q3,4Q1,4Q2,4Q3,5Q1,5Q2,5Q3,6Q1,6Q2,6Q3,7Q1,7Q2,7Q3,8Q1,8Q2,8Q3,89Q1,9Q2,9Q3,10Q1,10Q2,10Q3,11Q1,11Q2,11Q3,12Q1,12Q2,12Q3,12Q3,13Q1,13Q2,13Q3,
1,7,6,7,6,3,5,6,7,7,5,5,7,3,7,6,5,7,6,6,7,6,3,5,6,7,7,5,7,5,5,7,3,7,6,5,7,6,6,7,6,
2,6,7,7,5,5,7,5,6,6,7,6,7,5,7,6,3,6,5,7,7,5,5,7,5,6,6,7,6,7,6,7,5,7,6,3,6,5,7,7,5,
3,5,7,6,7,6,7,7,5,5,7,7,6,6,6,3,3,5,3,7,6,7,6,7,7,5,5,7,5,7,7,6,6,6,3,3,5,3,7,6,7,
4,7,6,5,7,7,6,7,3,7,6,6,6,7,6,4,5,7,5,6,5,7,7,6,7,3,7,6,7,6,6,6,7,6,4,5,7,5,6,5,7,
5,7,5,7,6,6,6,6,5,7,6,7,3,6,3,7,6,7,6,5,7,6,6,6,6,5,7,6,7,6,7,3,6,3,7,6,7,6,5,7,6,
6,6,3,7,6,7,3,6,6,6,3,7,4,7,7,7,7,6,7,3,7,6,7,3,6,6,6,3,6,3,7,4,7,7,7,7,6,7,3,7,6,
7,6,5,6,3,7,4,3,7,6,4,6,7,7,7,6,6,6,6,5,6,3,7,4,3,7,6,4,6,4,6,7,7,7,6,6,6,6,5,6,3,
8,3,6,6,4,6,7,4,6,3,7,5,7,6,6,5,7,3,7,6,6,4,6,7,4,6,3,7,3,7,5,7,6,6,5,7,3,7,6,6,4,
9,4,7,3,7,5,7,7,7,7,7,3,6,5,5,7,7,4,7,7,3,7,5,7,7,7,7,7,7,7,3,6,5,5,7,7,4,7,7,3,7,
10,7,6,4,7,3,6,7,7,7,6,3,5,3,7,7,6,7,6,6,4,7,3,6,7,7,7,6,7,6,3,5,3,7,7,6,7,6,6,4,7,
11,7,7,7,6,3,5,6,6,6,5,5,7,5,7,6,5,7,5,7,7,6,3,5,6,6,6,5,6,5,5,7,5,7,6,5,7,5,7,7,6,
12,6,7,7,5,5,7,5,5,5,7,6,7,6,6,6,5,7,6,7,7,5,5,7,5,5,5,7,5,7,6,7,6,6,6,5,7,6,7,7,5,
13,5,6,6,7,6,7,7,3,7,7,7,6,7,6,3,3,6,5,6,6,7,6,7,7,3,7,7,7,7,7,6,7,6,3,3,6,5,6,6,7,
14,7,5,5,7,7,6,7,5,7,6,6,6,6,3,4,3,5,3,5,5,7,7,6,7,5,7,6,7,6,6,6,6,3,4,3,5,3,5,5,7,
15,7,3,7,6,6,6,6,6,6,6,7,3,7,4,7,5,7,5,3,7,6,6,6,6,6,6,6,6,6,7,3,7,4,7,5,7,5,3,7,6,
16,6,5,7,6,7,3,6,7,6,3,7,4,7,7,7,6,7,6,5,7,6,7,3,6,7,6,3,6,3,7,4,7,7,7,6,7,6,5,7,6,
17,6,6,6,3,7,4,3,6,3,4,6,7,6,7,6,7,6,7,6,6,3,7,4,3,6,3,4,3,4,6,7,6,7,6,7,6,7,6,6,3,
