,PE1,PE2,PE3,EE1,EE2,EE3,SI1,SI2,SI3,FC1,FC2,FC3,HM1,HM2,HM3,PR1,PR2,PR3,HB1,HB2,HB3,TS1,TS2,TS3,PI1,PI2,PI3,IF1,IF2,IF3,LF1,LF2,LF3,BI1,BI2,BI3
Respondents,7,6,7,6,3,5,6,7,7,5,5,7,3,7,6,5,7,6,6,7,6,3,5,6,7,7,5,7,5,5,7,3,7,6,5,7
1,6,7,7,5,5,7,5,6,6,7,6,7,5,7,6,3,6,5,7,7,5,5,7,5,6,6,7,6,7,6,7,5,7,6,3,6
2,5,7,6,7,6,7,7,5,5,7,7,6,6,6,3,3,5,3,7,6,7,6,7,7,5,5,7,5,7,7,6,6,6,3,3,5
3,7,6,5,7,7,6,7,3,7,6,6,6,7,6,4,5,7,5,6,5,7,7,6,7,3,7,6,7,6,6,6,7,6,4,5,7
4,7,5,7,6,6,6,6,5,7,6,7,3,6,3,7,6,7,6,5,7,6,6,6,6,5,7,6,7,6,7,3,6,3,7,6,7
5,6,3,7,6,7,3,6,6,6,3,7,4,7,7,7,7,6,7,3,7,6,7,3,6,6,6,3,6,3,7,4,7,7,7,7,6
6,6,5,6,3,7,4,3,7,6,4,6,7,7,7,6,6,6,6,5,6,3,7,4,3,7,6,4,6,4,6,7,7,7,6,6,6
7,3,6,6,4,6,7,4,6,3,7,5,7,6,6,5,7,3,7,6,6,4,6,7,4,6,3,7,3,7,5,7,6,6,5,7,3
8,4,7,3,7,5,7,7,7,7,7,3,6,5,5,7,7,4,7,7,3,7,5,7,7,7,7,7,7,7,3,6,5,5,7,7,4
9,7,6,4,7,3,6,7,7,7,6,3,5,3,7,7,6,7,6,6,4,7,3,6,7,7,7,6,7,6,3,5,3,7,7,6,7
10,7,7,7,6,3,5,6,6,6,5,5,7,5,7,6,5,7,5,7,7,6,3,5,6,6,6,5,6,5,5,7,5,7,6,5,7
11,6,7,7,5,5,7,5,5,5,7,6,7,6,6,6,5,7,6,7,7,5,5,7,5,5,5,7,5,7,6,7,6,6,6,5,7
12,5,6,6,7,6,7,7,3,7,7,7,6,7,6,3,3,6,5,6,6,7,6,7,7,3,7,7,7,7,7,6,7,6,3,3,6
13,7,5,5,7,7,6,7,5,7,6,6,6,6,3,4,3,5,3,5,5,7,7,6,7,5,7,6,7,6,6,6,6,3,4,3,5
14,7,3,7,6,6,6,6,6,6,6,7,3,7,4,7,5,7,5,3,7,6,6,6,6,6,6,6,6,6,7,3,7,4,7,5,7
15,6,5,7,6,7,3,6,7,6,3,7,4,7,7,7,6,7,6,5,7,6,7,3,6,7,6,3,6,3,7,4,7,7,7,6,7
16,6,6,6,3,7,4,3,6,3,4,6,7,6,7,6,7,6,7,6,6,3,7,4,3,6,3,4,3,4,6,7,6,7,6,7,6
17,3,7,6,4,6,7,4,7,4,7,5,7,5,6,5,6,6,6,7,6,4,6,7,4,7,4,7,4,7,5,7,5,6,5,6,6
18,4,6,3,7,5,7,7,7,7,7,3,6,3,5,7,7,3,7,6,3,7,5,7,7,7,7,7,7,7,3,6,3,5,7,7,3
19,7,7,7,7,3,6,7,6,7,6,3,5,5,7,7,7,4,7,7,7,7,3,6,7,6,7,6,7,6,3,5,5,7,7,7,4
20,7,7,7,6,3,5,6,5,6,5,5,7,6,7,6,6,7,6,7,7,6,3,5,6,5,6,5,6,5,5,7,6,7,6,6,7
21,6,6,6,5,5,7,5,3,5,7,6,7,7,6,6,5,7,5,6,6,5,5,7,5,3,5,7,5,7,6,7,7,6,6,5,7
22,5,5,5,7,6,7,7,5,7,7,7,6,6,6,3,5,7,6,5,5,7,6,7,7,5,7,7,7,7,7,6,6,6,3,5,7
23,7,3,7,7,7,6,7,6,7,6,6,6,7,3,4,3,6,5,3,7,7,7,6,7,6,7,6,7,6,6,6,7,3,4,3,6
24,7,5,7,6,6,6,6,7,6,6,7,3,7,7,5,3,5,3,5,7,6,6,6,6,7,6,6,6,6,7,3,7,7,5,3,5
