GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03
1,25,6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7
1,21,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3
1,22,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6
1,30,4,6,6,7,3,4,4,6,1,,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,5,5,5,5,5,5,4,5
1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7
2,31,6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6
1,28,5,6,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,5,6,7,6,5,6,5,7,5,7,7,7,5,6,5,6,5,5,4,6,4,5,7,6,7
2,32,6,6,6,6,6,5,5,6,7,6,6,5,6,6,7,5,6,4,4,4,6,5,4,6,5,5,7,6,6,3,5,4,6,5,3,5,4,5,3,6,6,5
1,35,6,5,5,6,5,6,5,7,7,4,6,5,5,7,7,7,6,5,4,6,6,5,6,6,6,5,7,6,7,3,5,3,5,3,5,4,5,4,5,7,6,6
1,33,6,7,6,6,6,5,6,6,5,5,5,5,5,6,7,7,3,4,4,3,5,4,5,6,6,5,7,7,7,6,5,6,5,6,3,6,5,6,4,6,7,6
1,27,4,4,5,5,4,5,5,5,4,4,4,4,4,5,5,6,5,4,4,3,4,3,4,5,6,6,5,4,4,2,5,3,4,4,3,5,4,4,5,5,4,5
,29,5,5,5,6,5,5,5,6,5,5,5,5,4,6,6,6,6,5,4,5,5,4,5,5,7,6,5,4,5,3,5,4,4,5,5,5,5,5,6,6,5,6
1,31,6,6,6,6,5,5,5,6,5,6,5,5,5,5,6,6,6,5,4,3,5,4,5,5,6,6,6,5,6,3,5,5,5,5,4,5,4,5,5,6,5,5
1,30,5,5,5,6,5,5,5,7,6,5,5,5,5,7,6,7,6,5,5,4,6,4,5,5,6,6,7,5,6,3,6,4,5,4,4,5,5,5,5,6,5,6
1,31,6,6,5,6,5,5,5,6,6,5,5,5,5,6,7,6,5,4,4,4,5,4,5,5,6,5,7,6,6,4,5,5,5,5,4,5,5,5,5,6,6,5
11,31,5,5,5,6,5,5,5,6,6,5,5,5,5,6,6,6,6,5,4,5,6,4,5,5,6,5,6,6,6,3,5,4,5,4,4,5,5,5,5,6,5,6
1,34,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3
1,31,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6
1,30,4,6,6,7,3,4,4,6,1,,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,,,,,,2,4,5
,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7
1,31,6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6
1,31,5,6,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,5,6,7,6,5,6,5,7,5,7,7,7,5,6,5,6,5,5,4,6,4,5,7,6,7
11,31,6,6,6,6,6,5,5,6,7,6,6,5,6,6,7,5,6,4,4,4,6,5,4,6,5,5,7,6,6,3,5,4,6,5,3,5,4,5,3,6,6,5
1,35,6,5,5,6,5,6,5,7,7,4,6,5,5,7,7,7,6,5,4,6,6,5,6,6,6,5,7,6,7,3,5,3,5,3,5,4,5,4,5,7,6,6
,32,6,7,6,6,6,5,6,6,5,5,5,5,5,6,7,7,3,4,4,3,5,4,5,6,6,5,7,7,7,6,5,6,5,6,3,6,5,6,4,6,7,6
,31,4,4,5,5,4,5,5,5,4,4,4,4,4,5,5,6,5,4,4,3,4,3,4,5,6,6,5,4,4,2,5,3,4,4,3,5,3,4,5,5,4,5
