CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03,,,,,,,,,,,,,,,,,,,,,,,,,
197,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,25,6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
203,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,21,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
205,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,22,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
207,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,4,6,6,7,3,4,4,6,1,6,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,
217,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,,
265,CASE000264,264,commericaltransport,interview,2022-03-03 11:49:26,2,31,6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
267,CASE000266,266,privatetransport,interview,2022-03-03 11:53:13,1,28,5,6,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,5,6,7,6,5,6,5,7,5,7,7,7,5,6,5,6,5,5,4,6,4,5,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
269,CASE000268,268,commericaltransport,interview,2022-03-03 11:54:55,2,32,6,6,6,6,6,5,5,6,7,6,6,5,6,6,7,5,6,4,4,4,6,5,4,6,5,5,7,6,6,3,5,4,6,5,3,5,4,5,3,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
271,CASE000270,270,privatetransport,interview,2022-03-03 12:02:19,1,35,6,5,5,6,5,6,5,7,7,4,6,5,5,7,7,7,6,5,4,6,6,5,6,6,6,5,7,6,7,3,5,3,5,3,5,4,5,4,5,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
273,CASE000272,272,commericaltransport,interview,2022-03-03 12:08:26,1,33,6,7,6,6,6,5,6,6,5,5,5,5,5,6,7,7,3,4,4,3,5,4,5,6,6,5,7,7,7,6,5,6,5,6,3,6,5,6,4,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
277,CASE000276,276,commericaltransport,interview,2022-03-03 17:37:24,1,22,7,7,7,7,5,5,5,6,6,5,7,5,6,6,7,7,5,6,5,5,6,6,6,4,4,5,5,6,5,3,7,3,4,7,2,7,2,7,7,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
279,CASE000278,278,privatetransport,interview,2022-03-03 17:40:54,1,22,5,6,7,6,3,4,5,6,6,4,5,3,2,7,7,7,6,6,4,3,4,5,5,3,6,6,7,6,6,2,7,3,4,6,2,7,5,7,7,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,
281,CASE000280,280,privatetransport,interview,2022-03-03 17:43:25,1,21,5,5,6,5,6,7,7,7,3,3,3,6,4,5,5,5,4,6,4,4,5,3,4,6,6,6,7,6,6,5,5,5,5,5,6,6,6,6,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
283,CASE000282,282,commericaltransport,interview,2022-03-03 17:53:52,1,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
285,CASE000284,284,commericaltransport,interview,2022-03-03 18:00:43,1,21,4,4,6,4,6,7,7,1,1,5,5,5,6,6,6,6,5,6,6,5,5,3,2,5,5,6,6,3,5,5,5,6,6,4,5,6,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
293,CASE000292,292,commericaltransport,interview,2022-03-03 18:05:15,1,23,5,6,7,5,5,6,6,7,7,3,6,4,6,6,7,6,7,6,5,2,5,5,6,2,7,5,6,2,4,3,7,5,3,6,3,6,3,7,5,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
295,CASE000294,294,privatetransport,interview,2022-03-03 18:06:36,2,22,1,4,6,3,1,1,1,5,2,1,1,1,7,1,1,1,1,5,4,1,1,1,1,1,6,1,5,1,6,1,7,1,1,1,1,7,5,7,7,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
299,CASE000298,298,commericaltransport,interview,2022-03-03 18:13:54,1,21,4,5,6,4,6,6,6,6,7,4,4,4,5,6,7,6,6,7,4,4,5,6,5,6,6,5,5,3,5,3,7,5,5,7,3,7,3,6,6,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
