PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03
6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7
1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3
5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6
4,6,6,7,3,4,4,6,1,4,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,3,6,3,5,5,2,4,5
6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7
6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6
5,6,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,5,6,7,6,5,6,5,7,5,7,7,7,5,6,5,6,5,5,4,6,4,5,7,6,7
6,6,6,6,6,5,5,6,7,6,6,5,6,6,7,5,6,4,4,4,6,5,4,6,5,5,7,6,6,3,5,4,6,5,3,5,4,5,3,6,6,5
6,5,5,6,5,6,5,7,7,4,6,5,5,7,7,7,6,5,4,6,6,5,6,6,6,5,7,6,7,3,5,3,5,3,5,4,5,4,5,7,6,6
6,7,6,6,6,5,6,6,5,5,5,5,5,6,7,7,3,4,4,3,5,4,5,6,6,5,7,7,7,6,5,6,5,6,3,6,5,6,4,6,7,6
7,7,7,7,5,5,5,6,6,5,7,5,6,6,7,7,5,6,5,5,6,6,6,4,4,5,5,6,5,3,7,3,4,7,2,7,2,7,7,7,4,6
5,6,7,6,3,4,5,6,6,4,5,3,2,7,7,7,6,6,4,3,4,5,5,3,6,6,7,6,6,2,7,3,4,6,2,7,5,7,7,7,5,7
5,5,6,5,6,7,7,7,3,3,3,6,4,5,5,5,4,6,4,4,5,3,4,6,6,6,7,6,6,5,5,5,5,5,6,6,6,6,6,5,6,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,6,4,6,7,7,1,1,5,5,5,6,6,6,6,5,6,6,5,5,3,2,5,5,6,6,3,5,5,5,6,6,4,5,6,5,5,5,6,5,5
5,4,5,5,7,7,7,4,5,4,7,5,5,6,5,5,4,5,5,5,4,4,4,3,6,6,4,4,4,1,7,4,4,6,5,5,4,5,5,5,3,4
5,6,7,5,5,6,6,7,7,3,6,4,6,6,7,6,7,6,5,2,5,5,6,2,7,5,6,2,4,3,7,5,3,6,3,6,3,7,5,6,2,7
1,4,6,3,1,1,1,5,2,1,1,1,7,1,1,1,1,5,4,1,1,1,1,1,6,1,5,1,6,1,7,1,1,1,1,7,5,7,7,1,1,6
4,5,6,4,6,6,6,6,7,4,4,4,5,6,7,6,6,7,4,4,5,6,5,6,6,5,5,3,5,3,7,5,5,7,3,7,3,6,6,6,3,6
6,4,4,5,7,7,6,6,7,4,5,3,3,6,6,4,6,4,4,1,5,4,5,3,7,6,6,6,6,1,7,4,2,7,3,6,3,6,6,7,3,6
5,6,6,6,5,5,5,4,7,4,5,5,4,5,6,6,6,6,5,5,6,5,6,5,7,7,6,4,5,3,7,4,4,6,5,6,4,6,6,5,4,6
4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,5,4,1,3,1,1,2,3,4,2,1,2,2,5,3,3,5,1,4,1,6,6,1,1,1
5,5,5,5,5,5,6,3,3,2,2,2,1,5,5,5,5,6,7,4,3,3,2,4,6,4,5,2,4,1,5,1,3,6,3,5,3,5,6,4,4,6
1,1,1,1,4,4,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,6,1,6,1,6,3,1,1,1
7,7,7,7,7,7,7,7,4,4,4,4,4,7,7,7,1,1,1,1,4,4,5,1,7,4,4,4,4,3,5,3,3,5,3,3,3,5,5,5,4,7
7,5,7,7,5,5,7,6,5,5,6,6,7,6,6,7,5,7,5,6,6,5,4,6,4,7,3,5,6,5,5,3,4,7,2,7,2,7,6,7,4,7
6,5,6,7,3,4,3,2,3,4,5,6,5,6,7,6,4,6,3,4,7,7,5,3,6,6,5,6,7,2,6,2,3,6,4,7,5,7,7,7,5,7
5,6,5,5,6,7,7,3,3,3,7,6,4,6,5,5,4,5,4,4,5,4,5,3,6,6,5,6,6,5,7,5,5,6,5,6,5,6,6,6,6,6
6,5,6,6,4,5,5,5,6,5,5,4,4,7,5,6,6,6,5,5,5,5,4,6,7,7,6,5,6,3,7,5,4,6,4,6,4,6,6,5,4,6
4,4,5,4,6,6,7,1,5,1,5,5,6,7,6,6,6,6,5,5,5,3,5,2,6,6,6,3,5,4,6,5,5,6,5,6,5,6,5,5,5,5
5,6,5,7,5,6,6,5,6,5,6,4,7,7,6,7,6,7,6,2,5,3,4,2,6,5,7,5,6,2,6,3,5,7,3,6,3,6,7,5,2,7
5,5,4,5,4,5,7,7,7,7,4,5,5,7,6,5,4,5,5,5,4,4,4,3,5,6,4,4,6,1,7,4,4,6,4,5,4,5,5,5,3,4
3,3,4,4,2,3,2,5,6,5,2,3,3,5,6,6,5,6,4,2,3,3,2,5,6,6,4,2,3,3,6,4,4,6,3,6,4,6,6,5,3,5
4,3,5,5,3,4,4,5,6,5,3,3,4,6,6,6,6,7,5,4,5,5,4,4,6,6,5,4,5,4,6,3,4,7,4,6,3,7,7,6,3,6
4,4,4,4,6,6,6,4,4,4,6,6,5,6,6,5,5,6,5,4,4,4,5,5,5,4,6,5,5,4,5,3,2,2,3,5,3,5,5,6,5,6
5,4,5,4,4,5,5,3,3,3,4,3,3,5,5,5,5,4,4,3,4,3,4,5,4,4,5,5,5,2,6,2,2,6,2,6,2,4,5,5,4,5
3,6,6,6,5,6,6,6,4,3,6,6,4,6,6,6,6,6,4,3,4,3,5,6,7,3,5,3,5,2,7,3,4,7,3,7,3,6,6,6,3,6
5,6,4,4,3,5,4,5,2,5,4,5,2,1,1,1,1,2,2,1,2,1,1,3,7,7,4,4,4,1,6,2,3,7,1,2,1,3,4,1,1,2
4,4,6,6,5,6,5,6,4,4,4,4,1,6,5,4,6,6,2,4,5,4,4,5,5,4,4,5,4,5,4,3,4,5,4,3,5,4,3,6,4,5
4,4,6,5,6,7,6,7,7,5,4,3,3,6,4,6,4,6,4,1,4,5,5,3,6,7,6,6,7,1,6,4,2,7,3,6,3,6,7,6,3,6
5,4,6,4,6,6,6,6,7,4,4,5,4,7,6,6,7,6,4,4,6,6,5,5,5,5,6,3,5,3,7,5,5,7,3,7,3,6,6,6,3,6
7,6,6,7,6,6,5,6,7,6,5,5,6,7,6,7,6,7,5,5,5,6,6,6,7,7,6,4,5,3,7,4,6,7,3,7,3,6,6,6,5,7
1,1,1,1,4,5,5,1,2,1,2,1,2,4,6,4,2,4,1,4,2,2,1,5,5,5,3,2,1,1,5,1,1,4,1,4,2,5,5,3,2,3
5,3,4,5,5,5,5,2,5,5,3,5,5,6,4,6,4,6,4,3,4,5,5,3,7,6,2,2,2,2,6,2,3,6,3,6,3,3,6,6,3,6
4,6,7,6,4,4,3,6,1,5,4,2,4,1,2,4,5,7,3,4,4,3,2,4,7,7,4,4,4,1,4,2,2,6,3,6,3,3,3,2,4,5
6,6,7,7,6,5,6,7,7,7,6,6,6,6,7,6,6,7,5,3,5,5,6,7,7,7,7,6,7,3,6,3,5,6,5,6,4,7,7,7,4,7
6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6
6,5,6,6,5,6,6,5,7,6,6,5,6,7,6,6,5,5,4,5,6,7,7,7,7,3,7,7,6,2,6,7,2,6,3,5,3,6,5,6,6,6
5,4,5,4,6,5,5,6,7,6,5,6,6,7,7,7,6,4,5,6,6,5,5,5,6,5,6,5,5,2,6,4,6,7,6,2,5,3,7,6,5,6
5,4,5,3,3,5,5,3,3,3,3,4,3,5,5,5,5,5,2,3,4,3,4,5,5,5,5,3,4,3,5,2,2,7,3,5,3,6,7,5,4,6
4,5,5,5,5,5,5,5,4,4,4,5,4,5,3,3,4,4,4,3,3,1,3,3,5,5,5,3,4,4,4,4,4,5,4,5,5,5,5,5,4,5
4,6,7,7,5,7,6,6,4,3,6,5,5,4,4,4,6,6,3,3,6,4,6,6,7,3,6,5,5,2,7,2,5,7,1,7,1,7,7,6,4,7
5,6,5,6,4,4,4,4,2,2,2,2,4,6,4,4,3,3,2,3,4,1,3,1,6,6,3,2,2,3,6,4,3,6,2,6,2,4,6,5,3,6
7,7,7,7,7,7,7,7,7,7,4,4,7,6,6,6,5,7,6,7,7,7,7,6,6,7,7,7,7,7,6,7,6,6,6,6,7,7,7,7,6,7
6,5,7,5,3,3,3,7,7,7,5,5,1,7,7,7,3,6,1,2,5,5,4,7,7,2,7,6,7,2,7,2,3,2,2,7,2,2,6,6,6,5
7,6,6,6,7,6,5,6,7,5,4,5,5,6,7,7,5,6,5,5,5,5,6,6,7,6,7,6,6,5,5,5,5,6,2,6,1,7,6,6,5,7
2,5,4,5,2,3,5,5,4,5,3,5,4,3,4,4,3,5,3,5,2,5,5,3,4,3,4,4,4,2,2,4,3,5,5,5,3,3,5,2,5,3
7,6,7,6,7,7,7,6,5,6,7,7,7,7,7,7,6,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,4,4,6,7,7,6,4,4,5,4,7,7,7,7,6,7,4,2,6,4,5,2,7,2,3,2,5,2,7,3,1,7,2,7,1,7,7,7,4,7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,7,7,7,5,4,5,7,4,3,4,4,4,7,3,4,7,6,4,3,4,6,4,3,5,4,5,6,7,3,6,4,5,5,4,7,4,7,7,5,3,5
4,6,6,6,5,7,5,4,3,4,4,6,6,3,5,4,5,6,4,3,3,2,4,5,6,5,3,3,4,3,4,4,4,5,3,5,4,6,6,5,4,6
1,7,7,7,1,5,6,1,1,5,4,4,4,4,4,4,4,6,1,1,1,1,1,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5
7,7,7,7,5,5,5,5,5,6,5,6,7,7,6,5,5,6,6,5,5,5,5,6,6,6,7,7,7,6,6,7,7,6,6,6,7,6,6,6,7,6
1,1,1,1,3,7,7,1,1,1,4,4,5,1,1,1,1,1,4,1,1,1,1,1,4,4,1,1,1,4,5,5,1,3,4,5,4,7,7,1,1,1
7,7,7,7,7,7,7,7,7,7,2,2,4,7,7,7,4,6,4,4,7,7,7,5,5,7,7,7,7,4,7,5,6,6,5,7,6,7,7,7,7,7
5,7,7,6,4,4,3,4,4,6,2,2,4,7,7,7,7,4,5,2,4,4,4,5,5,6,4,6,6,2,6,4,6,3,4,4,4,7,7,7,4,7
6,7,6,7,7,7,7,3,3,2,6,6,6,4,4,3,6,6,6,2,6,6,5,5,7,6,7,3,6,3,6,2,1,7,3,6,1,7,7,7,4,7
5,7,6,5,5,6,5,6,5,3,4,2,4,4,4,4,1,5,3,4,4,4,4,4,4,4,3,2,2,4,4,4,3,4,4,4,3,4,4,4,5,4
4,5,3,3,2,2,2,3,4,3,2,2,2,5,5,5,2,2,2,2,1,2,1,3,4,4,3,2,4,2,6,3,1,4,4,6,4,4,4,5,6,6
6,5,5,5,4,6,6,6,2,5,2,2,2,5,2,2,1,4,4,1,5,2,4,3,7,4,7,4,7,1,6,1,1,7,1,5,1,2,7,6,6,7
1,7,7,1,3,7,3,5,5,4,4,4,4,7,7,7,7,7,7,7,5,5,5,4,4,7,6,4,6,4,7,5,5,4,5,5,5,5,5,4,4,4
5,5,4,4,6,6,6,5,5,4,4,4,4,5,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,2,2,3,3,3,2,1,3,2,2,2,4,3,3,2,3,3,1,3,3,3,3,3,3,3,2,2,3,4,2,2,3,3,3,2,3,2,3,2,2
4,4,4,4,7,7,7,7,4,4,5,5,4,7,7,7,1,4,1,2,4,4,4,1,7,2,7,4,3,4,4,4,4,4,4,4,3,3,6,7,4,4
7,7,7,7,6,6,7,6,4,4,6,4,5,6,6,6,5,5,5,3,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4
5,5,6,6,5,6,6,6,6,7,6,5,6,3,6,6,6,5,5,5,6,5,6,6,5,4,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,7
2,6,5,5,7,7,7,7,7,4,6,5,7,7,7,7,7,7,7,4,7,7,7,1,7,7,7,6,5,4,6,6,3,6,6,6,5,5,5,6,5,6
6,6,6,6,4,6,5,6,6,4,6,6,6,6,6,6,4,6,4,2,6,6,5,4,6,6,4,2,5,2,2,2,2,6,3,6,3,5,6,6,3,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,6,6,6,6,4,4,1,1,1,5,6,6,4,4,4,4,4,4,1,5,1,5,5,5,5,3,2,5,3,5,5,5,5,2,5,3,5,4,5,3,6
7,7,6,7,5,6,7,1,7,7,4,4,7,7,7,7,7,7,4,7,6,4,6,6,7,7,5,5,6,4,5,7,7,7,4,4,5,1,3,6,7,7
